Texto,Fecha,Concepto,Género,Grupo Etáreo,Nombre Usuario,Escolaridad,Fuente
Esta wea sigue funcionando?,2023-07-17 15:07:26,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuzYyMMuuwG
funcionando como las weas,2023-07-17 20:26:32,False,N/A,N/A,eleg4ntex,N/A,https://www.threads.net/@eleg4ntex/post/Cuz9R-XN_0M
,2023-07-18 11:45:21,False,N/A,N/A,matiwizzz,N/A,https://www.threads.net/@matiwizzz/post/Cu1mc-nLNjg
Si no es por tu notificación ni me acuerdo q la tengo instalada,2023-07-17 15:09:31,False,N/A,N/A,__.dankooo.__,N/A,https://www.threads.net/@__.dankooo.__/post/CuzZBbhAWnn
No se escucha al fondo,2023-07-17 15:32:25,False,N/A,N/A,_.gopazo._,N/A,https://www.threads.net/@_.gopazo._/post/CuzbpN9gNL-
Parece :p,2023-07-18 03:42:57,False,N/A,N/A,laladolli,N/A,https://www.threads.net/@laladolli/post/Cu0vPvdtfme
Nose po dime tu,2023-07-17 16:03:58,False,N/A,N/A,_.cvrloss._,N/A,https://www.threads.net/@_.cvrloss._/post/CuzfQSnLL0N
Parece que sí,2023-07-17 15:24:51,False,N/A,N/A,nibaldo.shinchan,N/A,https://www.threads.net/@nibaldo.shinchan/post/CuzaxtKry8A
Dicennnnm,2023-07-17 16:49:43,False,N/A,N/A,imestebvn,N/A,https://www.threads.net/@imestebvn/post/CuzkfU8AzYP
Quien dejo prendida la luz?,2023-07-17 21:44:45,False,N/A,N/A,oingoboingo421,N/A,https://www.threads.net/@oingoboingo421/post/Cu0GQNMvrmG
Hay q hacer alguna wea pa revivirla,2023-11-12 17:23:44,False,N/A,N/A,ri.rixy,N/A,https://www.threads.net/@ri.rixy/post/CzjeLvxrQpf
SEGUIMOS!,2023-07-11 00:00:14,False,N/A,N/A,chtvnega,N/A,https://www.threads.net/@chtvnega/post/CuiUKTvt8kQ
Lo dije antes y lo repito… a mal tiempo buena cara…,2023-07-11 00:28:27,False,N/A,N/A,donbolastristes,N/A,https://www.threads.net/@donbolastristes/post/CuiXbGupcrn
,2023-07-11 18:36:29,False,N/A,N/A,blameloveandyou,N/A,https://www.threads.net/@blameloveandyou/post/CukT6HwLCWb
"cuando son rajas de minas todos babean, pero llega a ser una raja de hombre peludo y las reglas saltan",2023-07-11 01:17:58,False,N/A,N/A,rateo_mios,N/A,https://www.threads.net/@rateo_mios/post/CuidFyiNZH4
Free potoS,2023-07-11 19:05:59,False,N/A,N/A,xjorquera_,N/A,https://www.threads.net/@xjorquera_/post/CukXUJhASZ1
SJKAJDKDK,2023-07-11 00:36:48,False,N/A,N/A,te.suer,N/A,https://www.threads.net/@te.suer/post/CuiYYMpOuQa
#freechetanga,2023-07-11 00:36:20,False,N/A,N/A,spdr.mz,N/A,https://www.threads.net/@spdr.mz/post/CuiYUvpAAw5
Que nunca se pierdan las tradiciones ❤️,2023-07-11 00:13:11,False,N/A,N/A,bastianpizarrocataldo,N/A,https://www.threads.net/@bastianpizarrocataldo/post/CuiVrPhJTHY
un heroe,2023-07-11 02:00:50,False,N/A,N/A,godblessthisanon,N/A,https://www.threads.net/@godblessthisanon/post/Cuih_qNMOmW
#freechetanga,2023-07-11 06:27:38,False,N/A,N/A,nameless_virus_,N/A,https://www.threads.net/@nameless_virus_/post/CujAh0yuIls
Primero de muchos,2023-07-11 04:27:27,False,N/A,N/A,the.punkspider,N/A,https://www.threads.net/@the.punkspider/post/Cuiyxm0Mg4I
